Name,Notes
clinique-happy-in-bloom-2012,"['fruity notes', ' green notes', ' water notes', ' plum', 'freesia', ' lily-of-the-valley', ' mimosa']"
scuderia-ferrari-light-essence-bright,"['pear', ' lemon', ' blackcurrant syrup', 'peach', ' sea notes', ' green tea', ' floral notes']"
lacoste-essential-sport,"['grapefruit', ' bergamot', ' ginger', 'water notes', ' juniper', ' nutmeg', ' geranium']"
unltd-the-exhibit,"['orange', ' bergamot', ' red apple', 'cardamom', ' melon', ' lavender']"
fly-high-man,"['tangerine', ' black currant', ' basil', 'saffron', ' geranium']"
bella,"['bergamot', 'nectarine blossom', ' jasmine']"
no-8-atardecer-magnetico,"['tagetes', ' yuzu', ' rosemary', 'cardamom', ' black pepper', ' pepper']"
jasmine-of-athens,"['jasmine', 'tiare flower']"
rosendo-mateu-no-4-saffron-oud-vanilla,"['calabrian bergamot', ' orange blossom', 'saffron', ' nutmeg', ' cinnamon', ' iris', ' jasmine']"
fierce-for-her,"['blackberry leaf', 'peony']"
authentic-man,"['grapefruit', ' bergamot', ' pink pepper', 'ginger', ' sage', ' lavender']"
giardino-segreto,"['ylang-ylang', ' pink pepper', ' coriander', 'rose', ' grasse rose', ' cloves', ' jasmine']"
custom,"['red apple', 'pepper']"
a-moment-in-manhattan,"['musk', ' bitter orange', 'saffron', ' blueberry', ' ambergris', ' musk', ' vanilla', ' lavender', ' sea notes']"
oud-mokhallat-momayaz,"['tobacco blossom', 'myrrh', ' amber']"
hot,"['green notes', ' bergamot', ' aldehydes', 'white honey', ' carnation', ' cinnamon', ' bay leaf', ' orris root', ' rose', ' tuberose', ' lily-of-the-valley', ' jasmine']"
decade,"['bulgarian rose', ' aldehydes', ' pineapple', ' saffron', ' bergamot', 'rose de mai', ' geranium', ' violet', ' hedione']"
the-exclusives-intuitive,"['citruses', ' vetyver', ' pine needles', ' costus', 'ginger', ' green notes']"
drunk-saffron,"['cognac', ' plum', 'saffron', ' leather', ' coffee']"
happy-nuts,"['pistachio', ' almond', ' caramel', ' rum', ' honey', 'vanilla', ' sesame', ' davana']"
orange-de-bahia,"['orange', ' green mandarin', 'fig leaf', ' coconut milk', ' rose']"
patchouli-d-angkor,"['pear', ' bergamot', 'jasmine', ' bourbon pepper']"
masculin-ouragan,"['mandarin orange', ' orange', ' bergamot', 'clove', ' geranium', ' patchouli']"
tepidarium,"['grapefruit', ' amalfi lemon', ' rum', 'pia colada', ' mimosa', ' magnolia']"
paris-nights,"['wisteria', ' passionfruit', ' black violet', 'wild jasmine', ' laburnum', ' rose', ' osmanthus']"
ed-hardy-women-s-edt,"['mango', ' grapefruit', ' wild strawberry', ' apple', 'freesia', ' lime (linden) blossom', ' lily-of-the-valley']"
mage-d-orient,"['coconut', ' lime', ' pineapple', ' bergamot', ' litchi', 'lavender', ' geranium', ' orange blossom', ' jasmine']"
empreinte-new,"['aldehydes', ' bergamot', ' mandarin orange', 'may rose', ' bulgarian rose', ' jasmine']"
bethany-mota,"['red berries', ' white peach', ' bergamot', 'cotton candy', ' praline', ' big strawberry']"
rouh-al-khaleej,"['sea water', ' spices', 'floral notes', ' ambergris']"
western-leather-black,"['bergamot', ' lemon', ' orange', 'lavender', ' rosemary', ' vetiver', ' cardamom', ' patchouli']"
annayake-pour-elle,"['tea', ' bergamot', ' fig leaf', 'blue lotus', ' wildflowers']"
omizu-for-her,"['lily-of-the-valley', ' citruses', 'jasmine', ' heliotrope', ' honeysuckle', ' orange blossom']"
dirham-gold,"['herbal notes', ' pineapple', ' bergamot', 'vanilla', ' rose', ' carnation', ' jasmine', ' pepper']"
oudi,"['agarwood (oud)', ' rose', ' patchouli', 'agarwood (oud)', ' amber', ' cinnamon', ' cedar']"
l-edition,"['mandarin orange', ' pear', ' freesia', ' lemon', 'peony', ' lily-of-the-valley', ' peach', ' jasmine', ' rose']"
giardino-dell-iris,"['bergamot', ' lemon blossom', 'iris', ' black amber', ' elemi', ' myrrh']"
new-york-5th-avenue,"['rose', ' bergamot', 'caramel', ' cypriol oil or nagarmotha', ' violet']"
1001-ouds,"['agarwood (oud)', ' papyrus', 'agarwood (oud)', ' rose', ' pimento']"
cabaret,"['rose', ' peony', ' lily-of-the-valley', 'incense', ' iris', ' violet']"
cabochard,"['aldehydes', ' sage', ' spices', ' tarragon', ' asafoetida', ' lemon', ' fruity notes', 'geranium', ' orris root', ' rose', ' jasmine', ' ylang-ylang']"
mickey-mouse-the-fragrance,"['bergamot', ' mandarin orange', ' cardamom', 'coconut milk', ' orange blossom', ' cacao']"
wonder-woman-2023,"['pink pepper', ' raspberry', ' davana', ' bergamot', 'orris', ' almond', ' tolu balsam']"
patchouli-sauvage,"['bergamot', ' white grapefruit', 'patchouli', ' labdanum', ' dried fruits']"
anna-sui,"['raspberry', ' apricot', ' bergamot', ' orange', ' green accord', 'iris', ' bulgarian rose', ' floral notes', ' orris root', ' jasmine', ' lily-of-the-valley']"
sui-dreams,"['nectarine', ' mandarin orange', ' bergamot', ' bitter orange', 'peach', ' freesia', ' chinese peony', ' rose']"
force-majeure,"['mint', ' bergamot', ' aldehydes', 'black pepper', ' jasmine', ' cinnamon', ' cloves']"
jaguar-classic-gold,"['apple', ' bergamot', ' lime', 'orange blossom', ' teak wood']"
ajar,"['pear', ' bergamot', 'orchid', ' jasmine']"
sultane-parfum-fatal,"['pear', ' neroli', ' pink pepper', 'coffee', ' jasmine']"
blue-roan,"['white peach', ' sea notes', ' citruses', 'pear blossom', ' ylang-ylang', ' geranium']"
hello-kitty,"['red apple', ' green apple', 'coconut', ' cherry blossom', ' jasmine']"
vanilla-freesia,"['litchi', ' tea', ' bergamot', 'peach', ' freesia', ' jasmine']"
white-tea,"['bergamot', ' neroli', ' mandarin orange', 'white tea', ' freesia', ' jasmine', ' peony']"
cuir,"['bergamot', ' mandarin orange', 'woody notes', ' spices']"
pivoine-flora-2015,"['bergamot', ' grapefruit', 'peony', ' rose']"
roma,"['pink grapefruit', ' mint', ' sicilian bergamot', ' black currant', ' hiacynth', 'carnation', ' jasmine', ' rose', ' lily-of-the-valley']"
jardin-rouge,"['black currant', ' bergamot', ' pink pepper', 'raspberry', ' rose', ' magnolia', ' wallflower']"
air-of-style,"['dates', ' white pepper', ' peony', 'tuberose', ' ylang-ylang', ' jasmine', ' orange blossom', ' orris']"
autograph-azure-breeze,"['bergamot', ' green apple', ' ginger', 'orange blossom', ' peach', ' rose']"
promesse-de-l-aube,"['bergamot', ' mandarin orange', ' amalfi lemon', 'jasmine', ' ylang-ylang']"
bushukan,"['lemon', ' bergamot', ' basil', 'cedar', ' thyme']"
tobacco-absolute,"['bergamot', ' grapefruit', ' elemi', 'cedar', ' palisander rosewood', ' nutmeg']"
agua-brava-azul,"['bergamot', ' lemon', ' clary sage', 'sea notes', ' pink pepper']"
nike-a-spicy-attitude-man,"['bergamot', ' grapefruit', ' rosemary', ' elemi', 'cedar', ' sea notes', ' lavender']"
autoportrait,"['elemi', ' bergamot', 'incense', ' benzoin', ' musk']"
paul-smith-rose-summer-edition-2011,"['blueberry', ' apricot', ' bergamot', 'rose', ' big strawberry', ' osmanthus']"
handsome,"['pine', ' eucalyptus', ' coriander', ' lavender', 'cedar', ' vetiver', ' artemisia', ' pepper']"
vodka-limited-edition,"['bergamot', ' lavender', 'coriander', ' geranium']"
vodka-man,"['cardamom', ' mandarin orange', 'mint', ' pepper']"
balmain-h-m,"['tonka bean', ' jasmine', 'white woods', ' gardenia', ' texas cedar']"
prince-blanc,"['grapefruit', ' bergamot', 'mint', ' watermelon']"
seja-como-flor,"['jasmine', 'rose']"
a-garota-que-passa-de-biquini-goiaba,"['apple', ' green notes', ' bergamot', 'floral fruity notes']"
vanille,"['bergamot', ' grapefruit', ' mandarin orange', ' orange', 'tiare flower', ' orange blossom', ' lily-of-the-valley']"
tzar,"['nutmeg', ' grapefruit', ' pepper', 'magnolia', ' lily-of-the-valley']"
velique,"['red berries', ' violet leaf', ' bergamot', 'peony', ' rose', ' jasmine', ' cyclamen', ' lily-of-the-valley']"
narjesi,"['rose', ' turkish rose', ' bulgarian rose', ' may rose', ' pink pepper', ' spices', ' aldehydes', ' elemi', ' dried fruits', ' bergamot', ' saffron', ' coffee', ' agarwood (oud)', ' fruity notes', ' sweet orange', ' orange', ' green leaves', ' cardamom', 'taif rose', ' ginger', ' patchouli', ' coriander', ' benzoin', ' vetiver', ' chamomile', ' honey', ' sandalwood', ' vanilla', ' cypriol oil or nagarmotha']"
first-snow,"['eucalyptus', ' white tea', 'vanilla', ' orange blossom']"
jade,"['galbanum', ' bergamot', ' peach', 'orris root', ' jasmine', ' ylang-ylang', ' rose']"
iperborea,"['lily-of-the-valley', ' green notes', ' cyclamen', ' citruses', ' flowers', ' peach', ' mandarin orange', ' orange', 'lily-of-the-valley', ' magnolia', ' white flowers', ' mimosa']"
terre-d-iris,"['bergamot', ' bitter orange', ' grapefruit', 'rosemary', ' african orange flower', ' sage', ' rose']"
le-parfum-d-alice,"['black currant', ' rhubarb', ' pink grapefruit', ' pink pepper', 'black currant', ' turkish rose', ' orange blossom', ' peony']"
lucrethia,"['pear', ' lime (linden) blossom', ' pink pepper', ' petitgrain', ' laurels', 'coffee', ' jasmine', ' cacao', ' amber', ' cloves']"
eau-de-varens-n0-4,"['bergamot', ' grapefruit', ' bitter orange', 'cypress', ' lily-of-the-valley', ' rose']"
sensuelle,"['licorice', ' grapefruit', 'iris', ' rose']"
udv-pour-elle,"['pear', ' basil', ' sicilian bergamot', 'rose de mai', ' jasmine', ' lily', ' osmanthus']"
mini-dream,"['rum', ' apricot', ' black currant', ' mandarin orange', 'honeysuckle', ' jasmine']"
hazor,"['sicilian lemon', ' mint', ' green leaves', 'jasmine']"
kelvin,"['bergamot', ' sicilian lemon', ' lavender', ' rosemary', 'neroli', ' jasmine']"
lael,"['neroli', ' black pepper', ' bergamot', ' petitgrain', 'black pepper', ' lavender', ' juniper berries', ' cardamom', ' sage']"
syros,"['rhubarb leaf', ' sea notes', ' watermelon', 'sage', ' ginger', ' lavender', ' wheat']"
santo-incienso-sillage-sacre,"['calabrian bergamot', ' petitgrain', ' nutmeg', 'palo santo', ' atlas cedar', ' hedione']"
sublime-balkiss,"['violet leaves', ' bergamot', 'black currant', ' lilac', ' lily-of-the-valley', ' bulgarian rose']"
vanilla-woods,"['pear', 'rose']"
chords,"['bergamot', ' neroli', ' orange blossom', 'tobacco', ' honey', ' ylang ylang']"
blue-heart,"['saffron', ' coconut', 'orris', ' vanilla', ' tonka bean']"
maraschino,"['cherry', ' strawberry', ' peach', ' apple', ' almond', 'jasmine sambac', ' heliotrope', ' mimosa', ' orris', ' rose']"
ensemble,"['calabrian bergamot', ' amalfi lemon', ' mandarin orange', 'sandalwood', ' tobacco', ' pink pepper']"
accento,"['pineapple', ' hyacinth', 'pink pepper', ' iris', ' jasmine']"
b-u-rockmantic,"['granny smith apple', ' orange', ' mandarin orange', 'raspberry', ' rose', ' peony', ' freesia']"
sweet-mimosa,"['kiwi', ' grapefruit', 'mimosa', ' iris', ' cinnamon', ' rose']"
police-dark-women,"['black currant', ' violet', ' bergamot', ' mandarin orange', 'iris', ' gardenia', ' rose', ' jasmine']"
angels-of-florence,"['lime', ' gardenia', ' african orange flower', ' geranium', ' lilac', ' jasmine', ' rose', ' ylang-ylang', ' cyclamen', 'violet leaf', ' melon', ' peach', ' cassis', ' plum']"
frangipane,"['thyme', ' nutmeg', 'frangipani', ' tuberose', ' rose', ' orris root']"
passenger-for-men,"['citruses', ' violet leaf', 'ginger', ' pink pepper', ' cardamom', ' lavender']"
tank-custom-for-her,"['honey', ' sorbet', ' apple', ' petitgrain', 'jasmine', ' orange blossom', ' lily-of-the-valley']"
rem-coco,"['coconut nectar', ' sea notes', 'coconut milk', ' solar notes', ' floral notes']"
francois-charles,"['ginger', ' cardamom', ' bergamot', ' bitter orange', ' lemon', ' pineapple', ' melon', ' grapefruit', ' tangerine', ' cinnamon', ' pink pepper', ' anise', 'lavender', ' jasmine', ' orange blossom', ' rose', ' clary sage']"
triomphe-millesime,"['bergamot', ' cardamom', ' bitter orange', ' tangerine', 'clary sage', ' tarragon', ' cinnamon']"
rue-rance-eau-de-noblesse,"['grapefruit', ' bergamot', ' rose', 'rhuburb', ' coriander', ' myrtle', ' iris']"
sunsetcafe-2023,"['seaweed', ' coconut', ' coffee', 'jasmine', ' strawberry', ' rose']"
woman,"['green apple', ' pink grapefruit', ' bergamot', ' juniper berries', 'white peach', ' red peony', ' honeysuckle', ' jasmine']"
deja-vu,"['jasmine', ' bergamot', ' pear', 'amber', ' amberwood', ' green leaves']"
alfazema-provencal,"['lavender', ' rosemary', ' bergamot', 'lavender extract', ' rose', ' geranium']"
america-for-women,"['freesia', ' granny smith apple', ' blueberry', ' grapefruit', ' lilac', 'tea', ' nectarine', ' honeysuckle', ' lily']"
perry-ellis-f,"['rose', ' lily', ' ivy', 'pink peony', ' gardenia']"
perry-ellis-love,"['citruses', ' pepper', 'rose', ' frangipani', ' water lily']"
sweet-addict,"['neroli', ' rose', ' pink pepper', ' bergamot', 'orange blossom', ' egyptian jasmine', ' marshmallow', ' bulgarian rose', ' honeysuckle', ' orris']"
carte-blanche,"['guatemalan cardamom', ' gooseberry', ' bergamot', ' italian mandarin', 'almond', ' java vetiver oil', ' benzoin', ' driftwood']"
re-nero,"['mirabelle', ' peach', ' mandarin orange', 'cinnamon', ' tuberose', ' cardamom', ' cumin', ' ylang-ylang']"
cutie-pie,"['cupcake', ' coconut', ' almond', 'sugar', ' heliotrope', ' rose']"
sexual-sugar-daddy,"['sugar', ' grapefruit', 'cinnamon', ' praline']"
athanor,"['sulphur', ' cassis', ' saffron', 'iris', ' incense', ' cypriol oil or nagarmotha']"
promise-me-intense,"['litchi', 'black rose']"
terralba,"['lemon', ' clary sage', ' tangerine', 'thyme', ' myrtle', ' curry tree', ' immortelle']"
live-fearlessly,"['bergamot', ' flower petals', ' ginger', 'lily-of-the-valley', ' rose', ' orchid']"
methexis,"['fig', ' dried fruits', ' black currant', 'honey', ' cacao', ' cedar', ' cinnamon']"
charming-tuberose,"['coconut', ' cinnamon', 'tuberose', ' gardenia', ' jasmine']"
terminator,"['cardamom', ' bergamot', 'eucalyptus', ' sea water']"
lomani-pour-homme,"['lavender', ' lemon', ' bergamot', ' rosemary', 'geranium', ' cloves', ' camphor']"
neroli-eau-de-parfum,"['bitter orange', ' lemon peel', 'neroli', ' jasmine', ' freesia', ' peony']"
athletic-man,"['pine tree', ' pomegranate', 'cedar', ' sandalwood']"
black-creek,"['bergamot', ' black currant', 'birch', ' patchouli', ' rose', ' jasmine']"
grigioperla-hedo,"['calabrian bergamot', ' mandarin orange', ' sicilian lemon', 'indian pepper', ' ginger', ' orange blossom']"
la-martina-hombre,"['basil', ' bergamot', ' lemon', ' mandarin orange', 'thyme', ' cardamom', ' pepper', ' cloves']"
ambraliquida,"['bourbon vanilla', ' geranium', ' rose', ' bergamot', 'sandalwood', ' guaiac wood', ' patchouli', ' cedar']"
corteccia-bark,"['bergamot', ' cypress', ' artemisia', ' coriander', ' orange', ' cardamom', ' grapefruit', ' mandarin orange', 'sandalwood', ' cedar', ' cinnamon', ' apple']"
rosa,"['geranium', ' violet', ' freesia', 'damask rose', ' jasmine']"
iris-dore,"['grapefruit', ' lavender', ' bergamot', 'iris', ' juniper', ' pink pepper']"
alujain,"['rose', 'sandalwood', ' guaiac wood', ' vetiver']"
accident-a-la-vanille-madeleine-de-proust,"['peach', ' apricot', 'coconut']"
rose-oud,"['lily-of-the-valley', ' jasmine', ' coriander', ' basil', 'moroccan rose', ' geranium']"
giorgio-aire,"['green notes', ' peach', ' neroli', ' bergamot', 'tuberose', ' jasmine', ' lily-of-the-valley', ' orchid']"
bolero,"['berry fruits', ' brazilian rosewood', ' mandarin orange', ' lotus', 'gardenia', ' peach', ' violet', ' rose']"
beagle,"['oak', 'rum']"
jacaranda,"['bergamot', 'cedarmoss']"
oud,"['ginger', ' cumin', ' carnation', 'agarwood (oud)']"
there-s-a-place,"['black pepper', ' saffron', ' allspice', 'rose', ' broom', ' orange blossom']"
l-amour,"['pink pepper', ' bergamot', ' mandarin orange', 'cotton candy', ' gardenia']"
no-10,"['nutmeg', ' olibanum', ' geranium', ' saffron', 'rose water', ' myrrh', ' amber', ' cypriol oil or nagarmotha', ' amyris']"
impression,"['white pepper', ' bergamot', 'cardamom', ' cinnamon']"
sandalo,"['bitter orange', ' rose', ' lemon', 'sandalwood', ' geranium', ' rose']"
yujin-amour,"['melon', ' clementine', ' grapefruit', 'violet', ' freesia', ' lily', ' sea notes']"
white-diamonds-legacy,"['honeysuckle', ' bergamot', ' pink pepper', 'gardenia', ' orange blossom', ' jasmine']"
l-eau-couture,"['magnolia', ' calabrian bergamot', 'orange blossom']"
capua,"['elemi', 'cedar']"
royal-gold,"['jasmine', 'vanilla', ' sweet notes', ' rose']"
02-fioraie,"['rose', ' bergamot', ' mandarin orange', 'jasmine', ' passionfruit', ' honey', ' plum']"
vivaciously-bold,"['lemon', ' grapefruit', ' pepper', ' bergamot', 'petitgrain', ' jasmine sambac']"
akanesasu,"['orange', ' bergamot', 'jasmine sambac']"
xvii-baroque-siberian-pine,"['bergamot', ' lemon', ' mandarin orange', ' neroli', ' pink pepper', 'pine needles', ' cardamom', ' lavender', ' orange blossom', ' coriander', ' bourbon geranium', ' jasmine']"
magnetic-woman,"['black currant', ' pear', ' citruses', 'jasmine', ' gianduia', ' cacao pod']"
symphonie-de-neroli,"['clementine', ' lime', ' bergamot', ' lemon', 'neroli', ' jasmine', ' vetiver', ' java vetiver oil']"
sandalo-e-the,"['lemon', ' tea', ' caraway', ' rosemary', ' orange', ' lavender', 'cedar', ' geranium', ' patchouli', ' jasmine', ' hyacinth', ' rose']"
astratto,"['milk', ' davana', ' pineapple', ' bergamot', 'raspberry', ' peach', ' lavender', ' jasmine', ' rose']"
biotherm-homme-aquafitness,"['sea water', ' lemon', ' sicilian bergamot', 'mint', ' clary sage', ' honeysuckle']"
fiore-di-portofino,"['italian lemon', ' basil', ' sicilian orange', ' neroli', 'geranium', ' tuscan iris', ' mimosa', ' carnation']"
reserve-for-men,"['lavender', ' bergamot', ' juniper berries', ' grapefruit', ' geranium', 'black rose', ' tarragon', ' white carnation', ' sage', ' caraway']"
la-fleur-bouquet,"['white flowers', ' flowers', 'fruits', ' citruses', ' musk']"
vanille-reglisse,"['orange', ' bergamot', ' mandarin orange', 'licorice', ' anise', ' jasmine', ' neroli']"
rare-tiffany,"['ylang-ylang', ' jasmine', ' rose', 'musk', ' sandalwood', ' vanilla']"
junoon,"['powdery notes', ' rose', ' ylang-ylang', ' jasmine', 'iris', ' tonka bean', ' rose', ' jasmine']"
junoon-rose,"['cherry blossom', ' bergamot', ' ylang-ylang', 'amaretto', ' powdery notes', ' rose', ' heliotrope']"
cloud,"['lavender', ' pear', ' bergamot', 'whipped cream', ' coconut', ' praline', ' vanilla orchid']"
la-rosa,"['pear', ' black currant', ' pink pepper', ' bergamot', 'orange blossom', ' tuberose', ' jasmine', ' mimosa', ' ylang-ylang']"
voyage-bleu,"['lemon', ' bergamot', ' grapefruit', ' pink pepper', 'ginger', ' mint', ' nutmeg']"
sapphire,"['grapefruit', ' mint', ' pink pepper', ' ginger', 'watery notes', ' violet leaves', ' woody notes']"
bucephalus-xi,"['black currant', ' pineapple', ' bergamot', 'myrrh', ' jasmine', ' rose']"
oh-la-la,"['musk vodka', ' peach', ' fig leaf', ' raspberry', ' mandarin orange', ' karo-korund', ' bergamot', 'cinnamon', ' ylang-ylang', ' narcissus', ' osmanthus', ' orange blossom', ' jasmine', ' yellow rose']"
azzaro-pour-homme-hot-pepper,"['chili pepper', 'pink pepper']"
success,"['cardamom', ' coriander', ' mandarin orange', ' lemon', 'tuberose', ' pimento', ' plum', ' rose']"
ck-all,"['bergamot', ' mandarin orange', ' grapefruit blossom', 'jasmine', ' rhubarb', ' freesia', ' lily']"
euphoria-intense,"['black currant', 'orchid']"
ch-africa,"['orange', ' violet', 'rooibos tea', ' cinnamon', ' iris']"
good-girl-blush,"['bergamot', ' bitter almond', 'peony', ' ylang-ylang']"
good-girl-glitter-collector,"['almond', ' coffee', 'tuberose', ' orris', ' jasmine']"
eau-de-cartier-vetiver-bleu,"['mint', 'licorice']"
nomade-absolu-de-parfum,"['mirabelle', 'oakmoss', ' davana']"
vetiver-d-haiti-au-the-vert,"['green tea', ' amber', 'haitian vetiver', ' cedar']"
coach-dreams-sunset,"['pear ice cream', ' bergamot', 'magnolia', ' jasmine sambac']"
coach-poppy-blossom,"['big strawberry', ' mandarin orange', ' litchi', ' freesia', 'gardenia', ' jasmine sambac', ' lily-of-the-valley', ' rose', ' tuberose']"
comme-des-garcons-series-6-synthetic-garage,"['aldehydes', ' floral notes', 'leather']"
tonka,"['almond', ' cardamom', ' artemisia', 'magnolia', ' lotus']"
acqua-fiorentina,"['apple', ' plum', 'bergamot', ' sicilian bergamot', ' lemon', ' pear', ' rose']"
cool-water-intense-for-her,"['green mandarin', 'exotic floral notes', ' mangosteen']"
j-adore-lumiere-eau-de-toilette,"['blood orange', ' lemon', 'magnolia', ' neroli', ' damask rose']"
miss-dior-cherie-blooming-bouquet-2011,"['citruses', ' orange', 'peony', ' rose']"
essences-insensees,"['violet', ' pink pepper', 'mimosa', ' heliotrope', ' grasse rose']"
dolce-gabbana,"['aldehydes', ' basil', ' citruses', ' ivy', ' mandarin orange', ' freesia', ' bergamot', 'carnation', ' marigold', ' coriander', ' orange blossom', ' lily', ' jasmine', ' bulgarian rose', ' lily-of-the-valley']"
d-g-feminine,"['mimosa', ' water lily', ' cyclamen', ' mandarin orange', 'lily', ' wisteria', ' heliotrope', ' ylang-ylang', ' jasmine']"
light-blue-sun-pour-homme,"['ozonic notes', ' grapefruit', ' bergamot', ' ginger', 'coconut nectar', ' rosemary', ' cedar', ' osmanthus']"
l-eau-the-one,"['peach', ' litchi', ' tangerine', ' bergamot', 'lily', ' jasmine', ' plum', ' lily-of-the-valley']"
sunflowers-summer-air,"['apple', ' lemon', ' green mandarin', 'ozonic notes', ' osmanthus', ' cyclamen', ' jasmine', ' rose']"
jardin-de-soleil,"['gardenia', ' tuberose', ' peach', ' raspberry', ' neroli', 'hiacynth', ' orange blossom']"
lily-chic,"['green apple', ' pear', 'lily-of-the-valley', ' lemon tree']"
rockin-rio,"['pineapple', ' papaya', ' mandarin orange', 'peach', ' sugar cane']"
spellbound,"['apricot', ' fruity notes', ' brazilian rosewood', ' rose', ' lily-of-the-valley', ' lemon', 'carnation', ' tuberose', ' cardamom', ' heliotrope', ' narcissus', ' jasmine', ' orange blossom', ' lily']"
fils-de-dieu-du-riz-et-des-agrumes,"['lime', ' ginger flower', ' coriander', ' shiso', 'rice', ' coconut', ' cardamom', ' cinnamon', ' jasmine', ' may rose']"
sunshine-man,"['lavender', ' brandy', ' immortelle', ' orange', 'juniper berries', ' clary sage', ' bergamot']"
very-irresistible-givenchy-edition-croisiere,"['salt', ' magnolia', ' bergamot', 'gardenia', ' rose', ' pink peony']"
saraj,"['olibanum', ' cinnamon', ' angelica', ' lime', 'virginia cedar', ' vetiver', ' labdanum', ' cloves', ' egyptian jasmine']"
gucci-by-gucci-eau-de-parfum,"['guava', ' pear', 'tiare flower']"
gucci-guilty-absolute-pour-femme,"['blackberry', ' pink pepper', ' bergamot', 'cypress', ' bulgarian rose', ' woody notes', ' vetiver']"
gucci-guilty-studs-pour-femme,"['pink pepper', ' mandarin orange', 'lilac', ' peach', ' geranium']"
aqua-allegoria-jasminora,"['bergamot', ' cyclamen', ' galbanum', 'jasmine', ' lily-of-the-valley', ' freesia']"
aqua-allegoria-rosa-fizz,"['litchi', ' mandarin orange', ' black currant', 'rose', ' peony', ' plum']"
aqua-allegoria-winter-delice,"['fir', 'pine', ' resin']"
la-petite-robe-noire-l-extrait,"['fruity notes', ' licorice', ' lemon', 'cherry', ' almond', ' violet', ' rose']"
l-eau-d-issey-absolue,"['lotus', ' freesia', 'honey', ' tuberose', ' night blooming cereus']"
bronze-wood-leather,"['grapefruit', 'smoke', ' juniper']"
london-rain-rain-angelica,"['watery notes', ' lime', 'angelica']"
earl-grey-cucumber,"['bergamot', ' water notes', ' jasmine', ' red apple', 'cucumber', ' angelica']"
sur-l-herbe,"['bergamot', ' lemon', 'neroli', ' green notes']"
poeme,"['narcissus', ' datura', ' peach', ' plum', ' himalayan poppy', ' mandarin orange', ' black currant', ' bergamot', ' green notes', 'mimosa', ' vanilla flower', ' tuberose', ' ylang-ylang', ' orange blossom', ' jasmine', ' freesia', ' heliotrope', ' rose', ' leather']"
24-carat-white-gold,"['orange blossom', ' bergamot', 'lavender', ' nutmeg', ' geranium', ' pink pepper']"
la-african-drummer,"['coconut', ' bergamot', 'ylang-ylang', ' jasmine', ' orange blossom']"
wajood,"['sea notes', ' pink pepper', 'vetiver', ' patchouli']"
najdia-tribute,"['ginger', ' apple', ' mandarin orange', ' bergamot', 'violet leaf', ' guaiac wood', ' saffron', ' cedar']"
citron-28-seoul,"['lemon', ' ginger', 'jasmine']"
ballerina-no-4,"['pink pepper', ' bergamot', ' cardamom', 'tuberose', ' peach', ' jasmine', ' white rose', ' incense']"
secrets-de-rose,"['rose', ' plum', ' saffron', ' bitter orange', ' licorice', 'rose', ' ylang-ylang', ' magnolia', ' jasmine', ' cumin']"
rose-jam-2019,"['turkish rose', ' rose oil', ' marmalade', 'lemon', ' spicy notes']"
note-poudree,"['peach', 'rose', ' jasmine']"
lalibela,"['coconut', ' orchid', ' rose', ' peony', 'vanilla', ' patchouli', ' jasmine', ' labdanum']"
soleil-de-capri,"['citruses', ' kumquat', ' grapefruit', 'white flowers']"
diamond-flowers,"['iris flower', ' rose', ' jasmine', 'amber', ' vanilla']"
presence-d-une-femme,"['pepper', ' mandarin orange', 'orchid', ' cyclamen']"
moschino-funny,"['bitter orange', ' red currant', ' pink pepper', 'green tea', ' peony', ' jasmine', ' violet']"
dose-de-humor,"['champagne', ' lemongrass', ' pear', ' pink grapefruit', 'raspberry', ' rose', ' lily-of-the-valley']"
kaiak-extremo,"['lemon', ' bergamot', ' mandarin orange', 'orange blossom', ' woody notes', ' lily-of-the-valley']"
kaiak-oceano,"['watery notes', ' seaweed', ' pataqueira', 'sea salt', ' aromatic notes']"
l-eau-du-temps,"['bergamot', ' orange', ' coriander', ' mandarin orange', ' pimento', ' black currant', 'carnation', ' tuberose', ' gardenia', ' ylang-ylang', ' jasmine']"
le-paradis-de-nina,"['almond', ' orange', ' mandarin orange', ' african orange flower', 'red apple', ' gardenia', ' heliotrope']"
shem,"['turkish rose', ' geranium', ' cardamom', 'cypriol oil or nagarmotha', ' osmanthus', ' amber']"
arbo-reserva,"['mint', ' lavender', ' sicilian bergamot', 'sage', ' lily-of-the-valley', ' violet']"
botica-214-dark-mint,"['mint', ' bergamot', ' pear', 'lavender', ' atlas cedar', ' violet leaves', ' ylang-ylang']"
cuide-se-bem-jardim-de-sol,"['tropical fruits', 'peony', ' rose']"
floratta-emotion,"['red berries', ' pink pepper', ' geranium', ' bergamot', ' lime', ' mandarin orange', 'tincture of rose', ' gardenia', ' violet', ' ylang-ylang', ' lily-of-the-valley']"
tsarina,"['coriander', ' bergamot', ' mandarin orange', ' cassis', 'suede', ' iris', ' jasmine sambac', ' freesia', ' hedione']"
megamare,"['bergamot', ' lemon', 'seaweed', ' calone', ' hedione']"
elisabethan-rose,"['hazelnut', ' tangerine', ' almond', ' cinnamon', 'may rose', ' rose oil', ' rose', ' black currant', ' geranium', ' red lily', ' plum']"
nue-au-soleil,"['aldehydes', ' petitgrain', 'orange blossom', ' freesia', ' green notes', ' magnolia']"
