Name,Notes
vanilla-milk,"['milk', ' frangipani', ' jasmine', ' peony', 'bourbon vanilla', ' madagascar vanilla', ' cacao pod']"
vodka-pink,"['verbena', ' sage', ' chamomile', 'rose', ' white flowers', ' geranium']"
champagne-royale,"['ginger', ' champagne', ' sicilian lemon', ' italian mandarin', 'plum', ' iris', ' geranium', ' ceylon cinnamon', ' nutmeg', ' cypress']"
lamborghini,"['green notes', ' bergamot', ' pineapple', ' lime', 'cedar', ' apple', ' lily-of-the-valley']"
fashionista,"['peach', ' plum', ' melon', ' citruses', 'mimosa', ' orange blossom', ' violet']"
revelation,"['fig leaf', 'white honey', ' spices']"
floral-musk,"['tagetes', ' jasmine', 'caramel', ' amber']"
muna,"['watermelon', ' strawberry', 'cyclamen', ' magnolia', ' peony', ' damask rose']"
love-forever-white,"['grapefruit', ' black currant', ' apricot', 'lily-of-the-valley', ' jasmine', ' rose']"
sin,"['tangerine', ' red currant', ' green notes', 'rose', ' plum', ' orange', ' freesia']"
e-l,"['white flowers', ' pomegranate', 'sea notes', ' green notes', ' green tea']"
fcuk-him,"['lavender', ' rosemary', ' basil', 'tea', ' sage']"
ehsas,"['musk', ' ambergris', ' woody notes', ' rose', ' white flowers', ' citruses', ' spicy notes', 'musk', ' ambergris', ' woody notes', ' aldehydes', ' lily-of-the-valley', ' sea notes', ' geranium', ' artemisia']"
avon-luck-eau-so-happy,"['raspberry', 'magnolia']"
phantom-legion,"['lemon zest', ' lavender', ' lemon', 'patchouli', ' smoke', ' lavender', ' earthy notes', ' apple']"
vanilla-sex,"['bitter almond', 'vanilla', ' floral notes']"
giordani-gold,"['white flowers', ' orange blossom', ' mandarin orange', ' lemon blossom', 'jasmine', ' tuberose', ' lily']"
commedia-dell-arte,"['orange', ' lemon', ' bergamot', 'apricot', ' plum', ' honeysuckle', ' white flowers']"
sea-sparkle,"['sea water', ' citruses', ' ozonic notes', 'melon', ' jasmine', ' herbal notes']"
show-off,"['black currant', ' bergamot', ' peach', 'rose', ' lotus', ' violet']"
wednesday,"['black pepper', ' elemi resin', ' saffron', 'turkish rose', ' rose', ' magnolia']"
colore-colore-violet,"['black currant', ' blackberry', ' pineapple', 'sugar cane', ' rose', ' green notes', ' jasmine']"
gourmand-bakhoor-dehn-al-oud,"['caramel', ' vanilla', ' amaretto', 'almond', ' cacao', ' honey']"
cherry-bloom,"['green grass', ' grapes', 'jasmine', ' cherry', ' violet', ' almond']"
le-secret-du-charme,"['pear', ' apple', ' lemon', 'cedar', ' sandalwood', ' lily-of-the-valley']"
mexx-spring-is-now-woman,"['apple', ' grapefruit', ' black currant', 'rose', ' lily-of-the-valley']"
presenze,"['bergamot', 'jasmine', ' lily-of-the-valley', ' patchouli']"
whispers-of-strength,"['boysenberry', ' frangipani', 'indian tuberose', ' egyptian jasmine']"
here-to-stay,"['raspberry', ' black currant', 'rose', ' jasmine']"
deja-vu,"['bubble gum', ' raspberry', ' citron', 'iris', ' jasmine sambac', ' orange blossom']"
active-water,"['caraway', ' white musk', 'cedar', ' egyptian pelargonium', ' sandalwood']"
colore-colore-pink,"['grapefruit', ' lemon', ' bergamot', ' rose', ' white flowers', ' jasmine', 'raspberry', ' red berries', ' peach', ' wild strawberry']"
opulentas,"['apple', ' lemon', ' pink pepper', 'agarwood (oud)', ' cypriol oil or nagarmotha', ' rose', ' patchouli']"
clean-baby-girl,"['cyclamen', ' lemon', ' orange', ' egyptian pelargonium', 'heliotrope', ' african violet', ' lavender', ' ceylon cinnamon', ' ylang-ylang']"
h2eau-golden-citrus,"['mandarin orange', ' water notes', ' bergamot', 'neroli', ' orange blossom']"
al-misk,"['copaiba balm', ' bergamot', ' absinthe', 'black pepper', ' magnolia', ' mace']"
sweet-spoiled,"['artemisia', ' rum', 'crithmum', ' osmanthus', ' labdanum']"
indomptee,"['pineapple', ' guava', ' mango', ' bergamot', ' melon', ' mandarin orange', ' black currant', 'magnolia', ' rose', ' lily-of-the-valley', ' jasmine']"
spring-narcissus,"['geranium', ' rose', 'narcissus', ' lily-of-the-valley']"
aspire,"['aldehydes', 'jasmine', ' african orange flower', ' iris', ' rose']"
sirenis,"['clary sage', ' bergamot', ' cardamom', 'genet', ' flowers', ' sandalwood']"
lovely-kiss,"['grapefruit', ' rhuburb', ' black currant', ' sugar', ' pink pepper', 'litchi', ' violet', ' peony']"
poggia,"['bergamot', ' lemon', ' peach', ' orange', 'ylang-ylang', ' rosemary', ' turkish rose', ' passionfruit', ' green apple']"
t-shelby,"['pineapple', ' lemon', ' bergamot', ' grapefruit', 'ozonic notes', ' myrtle', ' cassia', ' orange blossom']"
strast,"['raspberry', ' mandarin orange', ' orange', ' apple', 'litchi', ' rose', ' apricot', ' lily']"
cashmere-kush,"['rhubarb', ' pink pepper', ' aldehydes', 'orris', ' heliotrope', ' tulip']"
my-sin,"['juicy apricot', ' pear', 'freesia', ' rose petals']"
fortuna,"['saffron', ' grapefruit', 'lily-of-the-valley', ' rose', ' geranium']"
love,"['apple blossom', ' fruity notes', ' orange', 'rose', ' lily-of-the-valley', ' jasmine']"
egeo-choc-mint,"['basil', ' mint', ' ginger', ' bergamot', 'sage', ' geranium', ' lavender', ' chocolate', ' davana', ' cinnamon']"
cherchez-la-femme,"['currant buds', ' bergamot', ' lemon', ' aldehydes', ' mandarin orange', 'freesia', ' peony', ' orchid', ' cardamom', ' cyclamen', ' rose']"
dominant,"['apple', ' lemon', ' cardamom', 'tarragon', ' sage', ' geranium']"
cherish-escape,"['pink grapefruit', ' pear', ' wild strawberry leaf', 'violet', ' rose petals', ' jasmine sambac']"
pur-blanca-elegance,"['pear', ' strawberry', ' mandarin orange', 'gardenia', ' white orchid', ' jasmine']"
paper,"['iso e super', 'cedar']"
rose-amber-cologne-2024,"['clove', ' pink pepper', 'rose', ' ginger']"
flower-by-kenzo-summer-2008,"['ginger', ' mandarin orange', ' litchi', 'freesia', ' parma violet']"
crystal,"['apple', ' grapefruit', ' galbanum', ' orange', 'jasmine', ' lily-of-the-valley', ' rose']"
pink-taxi,"['strawberry', ' black currant', ' apple', 'sweet pea', ' rose', ' jasmine', ' freesia']"
zest-z-t,"['gin', ' juniper', ' lemon verbena', ' pink pepper', ' guatemalan cardamom', 'coriander', ' clary sage', ' black pepper']"
urbane,"['grapefruit', ' pink pepper', ' brazilian orange', ' bergamot', ' lemon', 'cardamom', ' lavender', ' neroli', ' gin']"
silent,"['green notes', ' apple', 'peony', ' peach', ' rose']"
goji,"['almond', ' italian lemon', ' calabrian bergamot', 'goji berries', ' iris', ' french rose', ' star anise']"
aventus-oil,"['pineapple', ' bergamot', ' black currant', ' apple', 'birch', ' patchouli', ' jasmine', ' rose']"
more-is-more,"['chinese osmanthus', ' clary sage', ' davana', 'rose water', ' broom', ' leather']"
cherry-lady-delicious,"['milk', ' cacao', ' almond', ' cloves', ' lime', 'cherry', ' raspberry', ' jasmine']"
slytherin-parfum,"['grapefruit', ' bergamot', ' cardamom', 'tobacco', ' black rose', ' clary sage']"
whispers-of-time,"['bergamot', ' tunisian neroli', 'orange blossom', ' ginger']"
the-lawyer,"['bergamot', ' mandarin orange', ' lemon', 'spices', ' dark chocolate', ' white orchid']"
bonne-etoile-baby-dior,"['green pear', 'wild rose']"
habit-rouge-l-instinct,"['green notes', ' grapefruit', ' bergamot', 'cannabis', ' mate', ' red rose']"
neroli-portofino-parfum,"['neroli', ' bergamot', ' blood orange', ' lemon', 'tunisian neroli', ' clary sage', ' jasmine sambac', ' pitosporum']"
shahrazad-saherezada,"['orange', ' bergamot', 'tuberose', ' magnolia']"
oceanica,"['cucumber', ' sea notes', ' black currant leaf', 'water lily', ' violet', ' cyclamen']"
life-is-now-for-him,"['cardamom', ' bergamot', ' pineapple', ' apple', 'sea notes', ' lavender', ' freesia']"
osmanthus-fragrans,"['osmanthus', ' pomegranate', 'rose', ' camellia', ' jasmine', ' hyacinth']"
campfire-rebel,"['whiskey', ' raspberry', 'incense', ' agarwood (oud)']"
maroon,"['black currant', ' bergamot', 'iris', ' rose', ' jasmine']"
pineapple,"['pineapple', ' pineapple leaf', 'coconut', ' patchouli', ' orange blossom']"
summer-white,"['aldehydes', ' grapefruit', ' freesia', 'jasmine', ' lily-of-the-valley', ' orange', ' orchid']"
xi-an,"['bamboo', 'floral notes']"
hyrax,"['saffron', ' elemi', ' pink pepper', ' turkish rose', 'hyrax', ' whiskey', ' styrax', ' hyacinth']"
puressence-by-ecobeauty,"['basil', ' citruses', ' orange', 'orange blossom', ' ylang-ylang', ' jasmine', ' bulgarian rose']"
sorbet-jolie,"['frosted berries', ' green notes', 'pear ice cream', ' violet', ' magnolia']"
citronica,"['bergamot', ' grapefruit', ' black currant blossom', 'bergamot', ' grapefruit blossom']"
magda,"['cherry', ' blackcurrant syrup', ' pomegranate', ' mandarin orange', 'tunisian orange blossom', ' indian tuberose', ' gardenia', ' cinnamon']"
varens-original-borneo-dream,"['watermelon', 'ylang-ylang', ' jasmine']"
zwinger,"['animal notes', 'animal notes']"
pretty-glamorous,"['lemon', ' bergamot', 'peony']"
wellness-by-clean-harmony,"['italian lemon', ' eucalyptus', ' rosemary', 'jasmine', ' orange blossom', ' rose']"
amabile,"['green apple', ' amalfi lemon', ' calabrian bergamot', ' orange blossom', 'guatemalan cardamom', ' pink pepper', ' jasmine']"
les-fashion-stiletto,"['almond', ' bergamot', 'rose', ' iris']"
faberlic-by-valentin-yudashkin-rose,"['watery notes', ' water lily', 'lily-of-the-valley', ' peony', ' cyclamen', ' pear']"
velvet-amber,"['geranium', ' lemon', ' cardamom', ' bergamot', 'leather', ' cypriol oil or nagarmotha', ' saffron', ' rose']"
delicious-kisses,"['raspberry', ' violet', ' bulgarian rose', 'papyrus', ' iris', ' sandalwood']"
lulucastagnette,"['fig', ' bergamot', 'cotton candy', ' rose', ' jasmine', ' magnolia']"
paper,"['iso e super', 'amber']"
lili-fantasy,"['bubble gum', 'tuberose', ' jasmine']"
dodo,"['fern', ' litchi', ' lime', ' raspberry', 'ambergris', ' balsam fir', ' geranium', ' rose']"
water-ivy,"['watery notes', ' bergamot', ' peach', 'ivy', ' jasmine', ' bellflower', ' peony']"
collapse-of-hedonism-krakh-gedonizma,"['cognac', ' smoke', ' metallic notes', 'dark chocolate', ' leather', ' rose', ' smoke']"
jamaica-2-woman,"['pink grapefruit', ' melon', ' peach', 'violet leaf', ' jasmine', ' freesia', ' plum']"
moscow-waltz-moskovskij-val-s,"['raspberry', ' violet', ' freesia', 'damask rose', ' rose hip', ' lilac']"
ume,"['plum', ' plum blossom', ' green tea', ' apricot', ' anise', 'oakmoss', ' yuzu', ' hinoki wood', ' incense', ' cedar']"
musk-makkah,"['strawberry', ' raspberry', 'almond', ' cinnamon', ' vanilla']"
enjoy,"['bergamot', ' lemon', ' orange', 'nutmeg', ' rose', ' geranium', ' pepper', ' violet', ' cinnamon', ' jasmine']"
cocaine,"['caramel', ' tobacco', ' bitter orange', ' red berries', 'tuberose', ' lily', ' orchid']"
plumes,"['laurels', ' watery notes', ' coconut', 'frangipani', ' tuberose', ' jasmine', ' vine']"
le-male-xmas-limited-edition,"['mint', 'lavender']"
floratta-in-gold,"['peach', ' pineapple', ' orchid', ' neroli', 'jasmine', ' heliotrope', ' lily-of-the-valley']"
prada-paradoxe-virtual-flower,"['bergamot', 'jasmine', ' neroli']"
glacier-ice,"['bergamot', ' tangerine', ' apple', 'cypress', ' lemongrass', ' ivy']"
u,"['bergamot', ' raspberry', ' black currant', ' mandarin orange', 'rose', ' lily-of-the-valley', ' freesia', ' magnolia']"
alatau,"['water notes', ' mint', ' amalfi lemon', ' red berries', 'hyacinth', ' lily-of-the-valley', ' violet', ' orange blossom', ' wild rose']"
walk-of-shame,"['bergamot', ' pineapple', ' aldehydes', 'rose', ' gardenia']"
gisada-donna,"['cotton candy', ' iris', ' violet', ' sicilian bergamot', 'patchouli', ' jasmine sambac', ' benzoin', ' white peach blossom']"
mercedes-benz-for-her-fanciful-edition,"['green mandarin', ' lemon', 'freesia', ' jasmine', ' rose']"
eclat-d-arpege-limited-edition,"['mandarin orange', ' bergamot', ' grapefruit', 'rose', ' peach', ' african orange flower', ' jasmine']"
malta,"['sea notes', ' bergamot', 'rosemary', ' sage', ' geranium']"
sagira,"['grapefruit', ' peach', ' mandarin orange', ' toffee', 'violet', ' damask rose', ' rose', ' patchouli']"
eva,"['citruses', ' bergamot', ' aldehydes', ' neroli', 'lily-of-the-valley', ' violet', ' freesia', ' jasmine']"
cologne-de-la-terre,"['bergamot', ' litsea cubeba', ' pear', 'green apple', ' beeswax', ' saffron']"
scentini-citrus-chill,"['blood orange', ' mandarin orange', 'guava', ' passion flower', ' apple blossom']"
perle-imperiale,"['bergamot', 'fig', ' powdery notes']"
banho-de-sorte,"['italian lemon', ' cardamom', ' pink pepper', ' ginger', ' mandarin orange', 'clove leaf', ' geranium', ' violet']"
x2o-extraordinary-for-women,"['grapefruit', ' star anise', 'magnolia', ' mirabelle plum', ' water lily']"
nafnaf-too,"['mango', ' pear', ' mandarin orange', 'peony', ' jasmine', ' neroli']"
scent-of-kiss-poplove,"['pear', ' watermelon', ' bergamot', 'jasmine', ' white lily']"
lotus-oud,"['agarwood (oud)', ' palisander rosewood', ' cardamom', 'vetiver', ' sandalwood']"
mexx-waterlove-man,"['pineapple', ' melon', ' lime', ' bergamot', ' apple', 'violet', ' lily-of-the-valley', ' jasmine']"
rose,"['turkish rose', 'madagascar vanilla', ' tonka bean', ' spices', ' red berries', ' lotus', ' oakmoss']"
